gene_id	chr	gene_name	length	type
ENSG00000234396.3	chr1	RP11-181G12.4	326	lincRNA
ENSG00000277082.1	chr1	AL590822.1	74	miRNA
ENSG00000157933.9	chr1	SKI	6080	protein_coding
ENSG00000116151.12	chr1	MORN1	11337	protein_coding
ENSG00000272161.1	chr1	RP4-713A8.1	493	sense_intronic
ENSG00000269896.2	chr1	RP4-740C4.5	2407	transcribed_processed_pseudogene
ENSG00000272420.1	chr1	RP4-740C4.7	568	sense_intronic
ENSG00000157916.17	chr1	RER1	5691	protein_coding
ENSG00000157911.8	chr1	PEX10	3789	protein_coding
ENSG00000149527.16	chr1	PLCH2	10781	protein_coding
ENSG00000224387.1	chr1	RP3-395M20.2	455	antisense
ENSG00000229393.1	chr1	RP3-395M20.3	514	antisense
ENSG00000157881.12	chr1	PANK4	5079	protein_coding
ENSG00000197921.5	chr1	HES5	1306	protein_coding
ENSG00000272449.1	chr1	RP3-395M20.12	996	lincRNA
ENSG00000238164.5	chr1	RP3-395M20.8	6137	antisense
ENSG00000157873.16	chr1	TNFRSF14	6219	protein_coding
ENSG00000225931.3	chr1	RP3-395M20.7	1297	TEC
ENSG00000228037.1	chr1	RP3-395M20.9	626	lincRNA
ENSG00000157870.13	chr1	FAM213B	3371	protein_coding
ENSG00000142606.14	chr1	MMEL1	3844	protein_coding
ENSG00000237058.1	chr1	RP13-436F16.1	373	antisense
ENSG00000215912.10	chr1	TTC34	5900	protein_coding
ENSG00000233234.1	chr1	RP11-740P5.2	607	lincRNA
ENSG00000231630.1	chr1	RP11-740P5.3	429	lincRNA
ENSG00000169717.6	chr1	ACTRT2	1421	protein_coding
ENSG00000177133.9	chr1	LINC00982	5600	antisense
ENSG00000142611.15	chr1	PRDM16	9767	protein_coding
ENSG00000226286.1	chr1	RP1-163G9.2	469	antisense
ENSG00000279839.1	chr1	RP11-193J6.1	2677	TEC
ENSG00000272235.1	chr1	RP11-22L13.1	3461	lincRNA
ENSG00000130762.13	chr1	ARHGEF16	5563	protein_coding
ENSG00000272088.1	chr1	RP11-168F9.2	382	lincRNA
ENSG00000162591.14	chr1	MEGF6	7039	protein_coding
ENSG00000207776.1	chr1	MIR551A	96	miRNA
ENSG00000238260.1	chr1	RP11-46F15.2	622	antisense
ENSG00000158109.13	chr1	TPRG1L	2414	protein_coding
ENSG00000116213.14	chr1	WRAP73	7604	protein_coding
ENSG00000078900.13	chr1	TP73	6763	protein_coding
ENSG00000227589.1	chr1	RP5-1092A11.5	754	antisense
ENSG00000235131.1	chr1	RP5-1092A11.2	351	antisense
ENSG00000227372.9	chr1	TP73-AS1	7205	antisense
ENSG00000276189.1	chr1	TP73-AS1	161	misc_RNA
ENSG00000162592.7	chr1	CCDC27	2318	protein_coding
ENSG00000235169.6	chr1	SMIM1	954	protein_coding
ENSG00000130764.8	chr1	LRRC47	4516	protein_coding
ENSG00000266075.2	chr1	RN7SL574P	297	misc_RNA
ENSG00000272153.1	chr1	RP1-286D6.5	531	antisense
ENSG00000116198.11	chr1	CEP104	7876	protein_coding
ENSG00000169598.14	chr1	DFFB	3870	protein_coding
ENSG00000198912.9	chr1	C1orf174	4388	protein_coding
ENSG00000236423.4	chr1	LINC01134	4064	lincRNA
ENSG00000233304.4	chr1	LINC01346	3571	lincRNA
ENSG00000226374.1	chr1	RP13-614K11.2	937	lincRNA
ENSG00000229280.1	chr1	EEF1DP6	372	processed_pseudogene
ENSG00000235054.1	chr1	RP5-1166F10.1	2077	lincRNA
ENSG00000227169.2	chr1	RP1-37J18.1	356	lincRNA
ENSG00000232596.1	chr1	RP1-37J18.2	682	lincRNA
ENSG00000196581.9	chr1	AJAP1	12405	protein_coding
ENSG00000277731.1	chr1	AL137795.1	95	miRNA
ENSG00000231510.1	chr1	RP11-542C10.1	449	lincRNA
ENSG00000260972.1	chr1	RP1-58B11.1	1697	lincRNA
ENSG00000264341.1	chr1	MIR4417	73	miRNA
ENSG00000236948.1	chr1	RP11-154H17.1	363	lincRNA
ENSG00000216045.2	chr1	AL356693.1	89	miRNA
ENSG00000264101.1	chr1	MIR4689	70	miRNA
ENSG00000131697.16	chr1	NPHP4	13167	protein_coding
ENSG00000266687.1	chr1	AL356261.1	86	miRNA
ENSG00000069424.13	chr1	KCNAB2	9534	protein_coding
ENSG00000116254.16	chr1	CHD5	9890	protein_coding
ENSG00000116251.8	chr1	RPL22	4900	protein_coding
ENSG00000226944.1	chr1	RP1-120G22.11	378	antisense
ENSG00000158286.11	chr1	RNF207	6585	protein_coding
ENSG00000116237.14	chr1	ICMT	4910	protein_coding
ENSG00000225077.2	chr1	LINC00337	1685	lincRNA
ENSG00000173673.7	chr1	HES3	697	protein_coding
ENSG00000158292.6	chr1	GPR153	4082	protein_coding
ENSG00000097021.18	chr1	ACOT7	4124	protein_coding
ENSG00000271746.1	chr1	RP1-202O8.3	837	antisense
ENSG00000069812.10	chr1	HES2	5407	protein_coding
ENSG00000187017.13	chr1	ESPN	4121	protein_coding
ENSG00000265392.1	chr1	MIR4252	63	miRNA
ENSG00000231868.1	chr1	RP1-202O8.2	351	antisense
ENSG00000215788.8	chr1	TNFRSF25	3918	protein_coding
ENSG00000171680.19	chr1	PLEKHG5	6920	protein_coding
ENSG00000162408.10	chr1	NOL9	7293	protein_coding
ENSG00000253022.1	chr1	RNU6-731P	111	snRNA
ENSG00000229519.2	chr1	RP11-58A11.2	401	processed_pseudogene
ENSG00000173662.18	chr1	TAS1R1	2892	protein_coding
ENSG00000204859.10	chr1	ZBTB48	4503	protein_coding
ENSG00000162413.15	chr1	KLHL21	6901	protein_coding
ENSG00000116273.5	chr1	PHF13	3681	protein_coding
ENSG00000041988.14	chr1	THAP3	4072	protein_coding
ENSG00000007923.14	chr1	DNAJC11	5083	protein_coding
ENSG00000228750.4	chr1	RP11-242F24.1	2065	lincRNA
ENSG00000237436.1	chr1	RP11-312B8.1	415	antisense
ENSG00000171735.17	chr1	CAMTA1	10033	protein_coding
ENSG00000227950.1	chr1	RP11-312B8.2	286	processed_pseudogene
ENSG00000237365.1	chr1	RP11-334N17.1	349	antisense
ENSG00000207056.1	chr1	RNU1-8P	165	snRNA
ENSG00000280801.1	chr1	Z98052.1	85	miRNA
ENSG00000237402.1	chr1	CAMTA1-IT1	365	sense_intronic
ENSG00000237728.2	chr1	RP3-453P22.2	744	antisense
ENSG00000225126.1	chr1	RP4-549F15.1	361	antisense
ENSG00000270171.1	chr1	RP11-338N10.1	1721	lincRNA
ENSG00000270035.1	chr1	RP11-338N10.2	570	lincRNA
ENSG00000269978.1	chr1	RP11-338N10.3	267	lincRNA
ENSG00000049245.11	chr1	VAMP3	2760	protein_coding
ENSG00000269925.1	chr1	RP3-467L1.6	393	sense_intronic
ENSG00000049246.13	chr1	PER3	8099	protein_coding
ENSG00000236266.1	chr1	RP3-467L1.4	830	antisense
ENSG00000049247.12	chr1	UTS2	1791	protein_coding
ENSG00000049249.7	chr1	TNFRSF9	6331	protein_coding
ENSG00000270330.1	chr1	RP5-892F13.2	355	processed_pseudogene
ENSG00000116288.11	chr1	PARK7	2397	protein_coding
ENSG00000200344.1	chr1	Y_RNA	103	misc_RNA
ENSG00000116285.11	chr1	ERRFI1	4186	protein_coding
ENSG00000238290.1	chr1	RP11-431K24.1	2044	lincRNA
ENSG00000232848.1	chr1	CTA-215D11.4	800	processed_pseudogene
ENSG00000229305.1	chr1	RP11-431K24.2	1075	processed_pseudogene
ENSG00000200975.1	chr1	RNU1-7P	164	snRNA
ENSG00000227634.1	chr1	RP11-431K24.3	497	lincRNA
ENSG00000233645.1	chr1	RP11-431K24.4	477	lincRNA
ENSG00000251977.1	chr1	RNU6-991P	107	snRNA
ENSG00000162426.13	chr1	SLC45A1	2888	protein_coding
ENSG00000252254.1	chr1	Y_RNA	113	misc_RNA
ENSG00000142599.16	chr1	RERE	11503	protein_coding
ENSG00000232912.4	chr1	RP5-1115A15.1	702	antisense
ENSG00000221083.1	chr1	SNORA77	125	snoRNA
ENSG00000270282.1	chr1	RP5-1115A15.2	369	processed_pseudogene
ENSG00000280851.1	chr1	AL096855.1	81	miRNA
ENSG00000234619.1	chr1	RPL7P11	658	processed_pseudogene
ENSG00000224315.2	chr1	RPL7P7	703	processed_pseudogene
ENSG00000222511.2	chr1	Y_RNA	103	misc_RNA
ENSG00000226545.1	chr1	RP4-633I8.3	415	unprocessed_pseudogene
ENSG00000228423.2	chr1	RP4-633I8.4	353	lincRNA
ENSG00000229716.2	chr1	RP11-185B14.1	369	processed_pseudogene
ENSG00000074800.12	chr1	ENO1	3958	protein_coding
ENSG00000280816.1	chr1	Metazoa_SRP	259	misc_RNA
ENSG00000274258.1	chr1	MIR6728	89	miRNA
ENSG00000236269.1	chr1	ENO1-IT1	744	sense_intronic
ENSG00000230679.1	chr1	ENO1-AS1	456	antisense
ENSG00000201725.1	chr1	RNU6-304P	107	snRNA
ENSG00000238249.2	chr1	HMGN2P17	743	processed_pseudogene
ENSG00000232208.2	chr1	RP3-477M7.5	352	processed_pseudogene
ENSG00000232663.2	chr1	RP3-477M7.6	163	processed_pseudogene
ENSG00000131686.13	chr1	CA6	2662	protein_coding
ENSG00000265141.2	chr1	RN7SL451P	299	misc_RNA
ENSG00000197241.3	chr1	SLC2A7	1539	protein_coding
ENSG00000142583.16	chr1	SLC2A5	6693	protein_coding
ENSG00000252404.1	chr1	SCARNA16	184	scaRNA
ENSG00000281506.1	chr1	AL158048.1	78	miRNA
ENSG00000180758.11	chr1	GPR157	5372	protein_coding
ENSG00000207865.1	chr1	MIR34A	110	miRNA
ENSG00000228526.2	chr1	RP3-510D11.1	450	lincRNA
ENSG00000234546.2	chr1	RP3-510D11.2	985	lincRNA
ENSG00000049239.11	chr1	H6PD	9321	protein_coding
ENSG00000171621.12	chr1	SPSB1	3403	protein_coding
ENSG00000252956.1	chr1	RNA5SP40	110	rRNA
ENSG00000235263.1	chr1	RP13-392I16.1	708	lincRNA
ENSG00000171612.6	chr1	SLC25A33	3854	protein_coding
ENSG00000231181.1	chr1	RP13-15M17.1	559	processed_pseudogene
ENSG00000188807.11	chr1	TMEM201	6966	protein_coding
ENSG00000171608.14	chr1	PIK3CD	6332	protein_coding
ENSG00000179840.5	chr1	PIK3CD-AS1	1823	antisense
ENSG00000233268.3	chr1	RP11-558F24.2	421	processed_pseudogene
ENSG00000231789.2	chr1	PIK3CD-AS2	939	antisense
ENSG00000171603.15	chr1	CLSTN1	5559	protein_coding
ENSG00000271264.1	chr1	MZT1P1	246	processed_pseudogene
ENSG00000280113.1	chr1	AL357140.1	649	protein_coding
ENSG00000178585.13	chr1	CTNNBIP1	3339	protein_coding
ENSG00000223989.1	chr1	RP11-84A14.5	424	antisense
ENSG00000162441.10	chr1	LZIC	2794	protein_coding
ENSG00000228150.1	chr1	RP11-84A14.4	440	sense_intronic
ENSG00000173614.12	chr1	NMNAT1	4610	protein_coding
ENSG00000202415.1	chr1	RN7SKP269	319	misc_RNA
ENSG00000265521.1	chr1	MIR5697	78	miRNA
ENSG00000241326.1	chr1	RP11-807G9.2	436	sense_intronic
ENSG00000162444.11	chr1	RBP7	861	protein_coding
ENSG00000130939.17	chr1	UBE4B	9128	protein_coding
ENSG00000224340.1	chr1	RP11-496H15.2	337	processed_pseudogene
ENSG00000233623.2	chr1	PGAM1P11	680	processed_pseudogene
ENSG00000201746.1	chr1	RNU6-828P	107	snRNA
ENSG00000054523.15	chr1	KIF1B	17693	protein_coding
ENSG00000264881.1	chr1	MIR1273D	86	miRNA
ENSG00000199562.1	chr1	RNU6-37P	107	snRNA
ENSG00000264501.2	chr1	RN7SL731P	293	misc_RNA
ENSG00000142657.19	chr1	PGD	2966	protein_coding
ENSG00000271989.1	chr1	RP4-736L20.3	797	antisense
ENSG00000251503.6	chr1	APITD1-CORT	2301	protein_coding
ENSG00000175279.20	chr1	APITD1	1739	protein_coding
ENSG00000241563.3	chr1	CORT	1130	protein_coding
ENSG00000160049.10	chr1	DFFA	6622	protein_coding
ENSG00000203469.2	chr1	RP5-1113E3.3	467	antisense
ENSG00000142655.11	chr1	PEX14	2995	protein_coding
ENSG00000243267.3	chr1	RN7SL614P	280	misc_RNA
ENSG00000130940.13	chr1	CASZ1	11336	protein_coding
ENSG00000272078.1	chr1	RP4-734G22.3	7923	antisense
ENSG00000225158.2	chr1	HSPE1P24	238	processed_pseudogene
ENSG00000175262.13	chr1	C1orf127	3573	protein_coding
ENSG00000215785.2	chr1	CFL1P6	494	processed_pseudogene
ENSG00000264181.1	chr1	AL713997.1	88	miRNA
ENSG00000281322.1	chr1	Y_RNA	84	misc_RNA
ENSG00000120948.14	chr1	TARDBP	6071	protein_coding
ENSG00000277726.3	chr1	TARDBP	2205	protein_coding
ENSG00000009724.15	chr1	MASP2	4251	protein_coding
ENSG00000271895.2	chr1	RP4-635E18.8	870	antisense
ENSG00000116649.8	chr1	SRM	1898	protein_coding
ENSG00000171824.12	chr1	EXOSC10	6003	protein_coding
ENSG00000226849.1	chr1	RP4-635E18.7	2682	antisense
ENSG00000281350.1	chr1	Metazoa_SRP	263	misc_RNA
ENSG00000230337.1	chr1	RP4-635E18.6	536	antisense
ENSG00000198793.11	chr1	MTOR	12119	protein_coding
ENSG00000225602.4	chr1	MTOR-AS1	763	antisense
ENSG00000253086.1	chr1	RNU6-537P	103	snRNA
ENSG00000171819.4	chr1	ANGPTL7	2238	protein_coding
ENSG00000207451.1	chr1	RNU6-291P	107	snRNA
ENSG00000238173.1	chr1	RPL39P6	150	processed_pseudogene
ENSG00000120942.12	chr1	UBIAD1	5082	protein_coding
ENSG00000238199.1	chr1	UBE2V2P3	437	processed_pseudogene
ENSG00000224338.2	chr1	RP11-149P14.1	565	processed_pseudogene
ENSG00000204624.7	chr1	PTCHD2	6142	protein_coding
ENSG00000235643.1	chr1	RP1-69M21.2	1285	lincRNA
ENSG00000116661.9	chr1	FBXO2	2333	protein_coding
ENSG00000132879.12	chr1	FBXO44	3527	protein_coding
ENSG00000116663.9	chr1	FBXO6	1811	protein_coding
ENSG00000116670.13	chr1	MAD2L2	3324	protein_coding
ENSG00000162490.6	chr1	DRAXIN	7346	protein_coding
ENSG00000177674.14	chr1	AGTRAP	2435	protein_coding
ENSG00000215910.6	chr1	C1orf167	6499	protein_coding
ENSG00000177553.6	chr1	RP11-56N19.5	1868	antisense
ENSG00000177000.9	chr1	MTHFR	10214	protein_coding
ENSG00000011021.20	chr1	CLCN6	6938	protein_coding
ENSG00000242349.4	chr1	NPPA-AS1	1427	antisense
ENSG00000276470.1	chr1	NPPA-AS1_1	173	misc_RNA
ENSG00000278852.1	chr1	NPPA-AS1_2	149	misc_RNA
ENSG00000175206.9	chr1	NPPA	1120	protein_coding
ENSG00000275915.1	chr1	NPPA-AS1_3	108	misc_RNA
ENSG00000120937.8	chr1	NPPB	694	protein_coding
ENSG00000224904.1	chr1	RP5-934G17.6	2637	processed_pseudogene
ENSG00000199347.1	chr1	RNU5E-1	120	snRNA
ENSG00000201801.1	chr1	RNU5E-4P	120	snRNA
ENSG00000116685.14	chr1	KIAA2013	3281	protein_coding
ENSG00000083444.15	chr1	PLOD1	5320	protein_coding
ENSG00000116688.15	chr1	MFN2	4973	protein_coding
ENSG00000270914.1	chr1	RP5-1077B9.5	93	processed_pseudogene
ENSG00000116691.9	chr1	MIIP	2821	protein_coding
ENSG00000202461.1	chr1	Y_RNA	113	misc_RNA
ENSG00000276869.1	chr1	MIR6729	65	miRNA
ENSG00000243539.3	chr1	RN7SL649P	275	misc_RNA
ENSG00000120949.13	chr1	TNFRSF8	3738	protein_coding
ENSG00000281342.1	chr1	Metazoa_SRP	245	misc_RNA
ENSG00000201135.1	chr1	RNU6-777P	104	snRNA
ENSG00000227875.2	chr1	RP11-426M1.2	255	processed_pseudogene
ENSG00000275459.1	chr1	MIR7846	96	miRNA
ENSG00000028137.15	chr1	TNFRSF1B	3766	protein_coding
ENSG00000263676.1	chr1	MIR4632	61	miRNA
ENSG00000225196.2	chr1	RP5-1118D24.2	316	processed_pseudogene
ENSG00000252969.1	chr1	SNORA70	124	snoRNA
ENSG00000048707.12	chr1	VPS13D	20023	protein_coding
ENSG00000280999.1	chr1	AC243836.1	100	miRNA
ENSG00000239149.1	chr1	SNORA59A	152	snoRNA
ENSG00000229484.1	chr1	RP5-888M10.2	438	lincRNA
ENSG00000162496.7	chr1	DHRS3	3036	protein_coding
ENSG00000221340.1	chr1	RNU6ATAC18P	101	snRNA
ENSG00000276830.1	chr1	MIR6730	67	miRNA
ENSG00000272482.1	chr1	RP11-474O21.5	345	lincRNA
ENSG00000204518.2	chr1	AADACL4	1575	protein_coding
ENSG00000226166.2	chr1	RP11-474O21.2	112	processed_pseudogene
ENSG00000188984.10	chr1	AADACL3	4049	protein_coding
ENSG00000157330.8	chr1	C1orf158	4118	protein_coding
ENSG00000116726.4	chr1	PRAMEF12	1786	protein_coding
ENSG00000116721.9	chr1	PRAMEF1	2439	protein_coding
ENSG00000228338.1	chr1	RP5-845O24.8	378	lincRNA
ENSG00000239810.3	chr1	PRAMEF11	1845	protein_coding
ENSG00000279195.1	chr1	PRAMEF11	1311	protein_coding
ENSG00000231103.2	chr1	RP5-845O24.3	1417	unprocessed_pseudogene
ENSG00000179172.8	chr1	HNRNPCL1	1201	protein_coding
ENSG00000120952.4	chr1	PRAMEF2	1642	protein_coding
ENSG00000243073.3	chr1	PRAMEF4	1828	protein_coding
ENSG00000187545.5	chr1	PRAMEF10	1525	protein_coding
